"AUC.0.9.n=357.sd<0.5" "sensitivity" "specificity"
"Group_1-prediction_file_nocomments-1" 0.497789 0.176470588235294 0.810457516339869
"Group_1-prediction_file_nocomments-2" 0.468089 0.137254901960784 0.803921568627451
"Group_1-prediction_file_nocomments-3" 0.481674 0.235294117647059 0.774509803921569
"Group_2-prediction_file_nocomments-1" 0.495322 0.333333333333333 0.669934640522876
"Group_2-prediction_file_nocomments-2" 0.506632 0.294117647058824 0.741830065359477
"Group_3-prediction_file_nocomments-1" 0.509067 0.470588235294118 0.555555555555556
"Group_3-prediction_file_nocomments-2" 0.496572 0.431372549019608 0.598039215686274
"Group_3-prediction_file_nocomments-3" 0.4703 0.0392156862745098 0.954248366013072
"Group_4-prediction_file_nocomments-1" 0.558695 0.0196078431372549 0.973856209150327
"Group_4-prediction_file_nocomments-2" 0.491253 0 0.993464052287582
"Group_4-prediction_file_nocomments-3" 0.459759 0.0196078431372549 0.993464052287582
"Group_5-prediction_file_nocomments-1" 0.52099 0.1 0.917491749174917
"Group_5-prediction_file_nocomments-2" 0.540792 0.02 0.993399339933993
"Group_6-prediction_file_nocomments-1" 0.571543 0 1
"Group_6-prediction_file_nocomments-2" 0.595796 0 1
"Group_6-prediction_file_nocomments-3" 0.608708 0.0980392156862745 0.928104575163399
"Group_6-prediction_file_nocomments-4" 0.588363 0.0196078431372549 0.954248366013072
"Group_6-prediction_file_nocomments-5" 0.566865 0 1
"Group_6-prediction_file_nocomments-6" 0.572216 0.313725490196078 0.790849673202614
"Group_6-prediction_file_nocomments-7" 0.583622 0 1
"Group_7-prediction_file_nocomments-1" 0.524894 0.803921568627451 0.241830065359477
"Group_7-prediction_file_nocomments-2" 0.49497 0.176470588235294 0.797385620915033
"Group_7-prediction_file_nocomments-3" 0.532936 0.627450980392157 0.444444444444444
"Group_7-prediction_file_nocomments-4" 0.52986 0.784313725490196 0.297385620915033
"Group_7-prediction_file_nocomments-5" 0.492759 0.156862745098039 0.803921568627451
"Group_7-prediction_file_nocomments-6" 0.521594 0.549019607843137 0.490196078431373
