"kendall.coefficient.n=357" "p.value"
"Group_1-prediction_file_nocomments-1" 0.0685856376198045 0.0530891034606195
"Group_1-prediction_file_nocomments-2" 0.0484565205431934 0.171769114758578
"Group_1-prediction_file_nocomments-3" 0.0441912435923914 0.212667388749341
"Group_2-prediction_file_nocomments-1" 0.0571545812545264 0.110549471969366
"Group_2-prediction_file_nocomments-2" 0.058037453143778 0.101940608111232
"Group_3-prediction_file_nocomments-1" 0.0525967894304987 0.138003088482645
"Group_3-prediction_file_nocomments-2" 0.0694213835681606 0.050262956168159
"Group_3-prediction_file_nocomments-3" 0.0430594900903185 0.224629529383019
"Group_4-prediction_file_nocomments-1" 0.0310300025860496 0.390080121668039
"Group_4-prediction_file_nocomments-2" -0.0328738417748131 0.362653379428229
"Group_4-prediction_file_nocomments-3" 0.0415166563111874 0.250214043983988
"Group_5-prediction_file_nocomments-1" 0.106248152353711 0.0029034245349551
"Group_5-prediction_file_nocomments-2" 0.0707095243987525 0.0475264265082724
"Group_6-prediction_file_nocomments-1" 0.170054459842656 1.70884397170249e-06
"Group_6-prediction_file_nocomments-2" 0.203967265554806 8.91174049305444e-09
"Group_6-prediction_file_nocomments-3" 0.214744628096635 1.4221939358259e-09
"Group_6-prediction_file_nocomments-4" 0.171799372323195 1.28701857809128e-06
"Group_6-prediction_file_nocomments-5" 0.20599325608738 6.34154950802637e-09
"Group_6-prediction_file_nocomments-6" 0.196519201770423 3.11070513566205e-08
"Group_6-prediction_file_nocomments-7" 0.206966079461957 5.42107713339851e-09
"Group_7-prediction_file_nocomments-1" 0.0679404574181739 0.100221503732398
"Group_7-prediction_file_nocomments-2" 0.0301587738065041 0.41256150564998
"Group_7-prediction_file_nocomments-3" 0.0783317364428821 0.0516613922343652
"Group_7-prediction_file_nocomments-4" 0.084123318694962 0.0350993983438904
"Group_7-prediction_file_nocomments-5" 0.0703422976876018 0.0479993382855858
"Group_7-prediction_file_nocomments-6" 0.103745048563742 0.00881780316164843
