"pearson.coefficient.n=357" "p.value"
"Group_1-prediction_file_nocomments-1" 0.0937600291341083 0.076855513931545
"Group_1-prediction_file_nocomments-2" 0.0776084206370085 0.143348856364059
"Group_1-prediction_file_nocomments-3" 0.0705993811283566 0.183215644472875
"Group_2-prediction_file_nocomments-1" 0.0605486265116334 0.253841785765459
"Group_2-prediction_file_nocomments-2" 0.0608518415451307 0.251467415681293
"Group_3-prediction_file_nocomments-1" 0.052245334914907 0.324940027655539
"Group_3-prediction_file_nocomments-2" 0.0666924172456093 0.208718578558388
"Group_3-prediction_file_nocomments-3" 0.0389368143285309 0.463322123952323
"Group_4-prediction_file_nocomments-1" 0.036367102282627 0.493373609303295
"Group_4-prediction_file_nocomments-2" -0.0991108011696487 0.0613888656529796
"Group_4-prediction_file_nocomments-3" 0.0205135895164469 0.699293604498153
"Group_5-prediction_file_nocomments-1" 0.1458373077066 0.00605097256496869
"Group_5-prediction_file_nocomments-2" 0.121436511949427 0.0224926590933022
"Group_6-prediction_file_nocomments-1" 0.157399868545749 0.00286219362006924
"Group_6-prediction_file_nocomments-2" 0.263546816519888 4.37911347230756e-07
"Group_6-prediction_file_nocomments-3" 0.309104719496501 2.42213255823268e-09
"Group_6-prediction_file_nocomments-4" 0.232382980645449 9.15499406644031e-06
"Group_6-prediction_file_nocomments-5" 0.283455330986673 5.06223223839047e-08
"Group_6-prediction_file_nocomments-6" 0.251360194282654 1.50854408484409e-06
"Group_6-prediction_file_nocomments-7" 0.255430349065414 1.0050183158477e-06
"Group_7-prediction_file_nocomments-1" 0.0774714505905667 0.144058616383945
"Group_7-prediction_file_nocomments-2" 0.0530599502680866 0.317442800474439
"Group_7-prediction_file_nocomments-3" 0.081229670013016 0.125537405281282
"Group_7-prediction_file_nocomments-4" 0.0836359834803153 0.114685526174474
"Group_7-prediction_file_nocomments-5" 0.0870198214053356 0.100685353848851
"Group_7-prediction_file_nocomments-6" 0.119759525283796 0.0236354312858465
