"coefficient.sd<0.5" "p.value"
"Group_1-prediction_file_nocomments-1" -0.0126195088333592 0.819890693949018
"Group_1-prediction_file_nocomments-2" -0.00856262648848915 0.877226104014151
"Group_1-prediction_file_nocomments-3" 0.00136079435795853 0.98041313687333
"Group_2-prediction_file_nocomments-1" -0.0395721801554809 0.475087187153362
"Group_2-prediction_file_nocomments-2" 0.0339719768479404 0.539818944895926
"Group_3-prediction_file_nocomments-1" -0.0508096178640766 0.358995463309396
"Group_3-prediction_file_nocomments-2" 0.0559501463886682 0.312388306254621
"Group_3-prediction_file_nocomments-3" -0.0468344223601673 0.397868956303949
"Group_4-prediction_file_nocomments-1" 0.117570289084347 0.0332917631157537
"Group_4-prediction_file_nocomments-2" -0.0771879802275297 0.163112829303699
"Group_4-prediction_file_nocomments-3" 0.0305936794285644 0.580887327651652
"Group_5-prediction_file_nocomments-1" 0.0582836200008159 0.292603987219881
"Group_5-prediction_file_nocomments-2" 0.0340489245219198 0.538900648281724
"Group_6-prediction_file_nocomments-1" 0.0647578879099861 0.242175752447742
"Group_6-prediction_file_nocomments-2" -0.0709087764015531 0.200220794656804
"Group_6-prediction_file_nocomments-3" 0.0908798189491321 0.100378472433361
"Group_6-prediction_file_nocomments-4" -0.0156926679988653 0.777070490270012
"Group_6-prediction_file_nocomments-5" 0.158665861708324 0.00396589754651271
"Group_6-prediction_file_nocomments-6" 0.0254259331651514 0.646378195485974
"Group_6-prediction_file_nocomments-7" 0.0144233460399516 0.794683125305016
"Group_7-prediction_file_nocomments-1" 0.0130112091795809 0.814400177337838
"Group_7-prediction_file_nocomments-2" -0.11220001845337 0.0422867155716289
"Group_7-prediction_file_nocomments-3" 0.0242088837559069 0.66223338235402
"Group_7-prediction_file_nocomments-4" 0.00778165512311544 0.888347226939186
"Group_7-prediction_file_nocomments-5" -0.00189858654709129 0.97267490475496
"Group_7-prediction_file_nocomments-6" 0.0400355945834974 0.469927441085552
