"pearson.coefficient.n=357"	"spearman.coefficient.n=357"	"kendall.coefficient.n=357"	"pearson.coefficient.n=357.sd<0.5"	"AUC.0.9"	"AUC.0.9.n=357.sd<0.5"	"RMSD"	"RMSD.n=357.sd<0.5"	"RMSD.1"	"RMSD.2"	"RMSD.n=357.sd<1.5"
"Group_1-prediction_file_nocomments-1"	0.0937600291341083	0.0995352723425922	0.0685856376198045	0.0937600291341083	0.497789	0.497789	0.444211455186342	0.444211455186342	0.446248894710268	0.410010233586348	0.446248894710268
"Group_1-prediction_file_nocomments-2"	0.0776084206370085	0.0725832788649945	0.0484565205431934	0.0776084206370085	0.468089	0.468089	0.445177918135568	0.445177918135568	0.44731064466247	0.411429806484199	0.44731064466247
"Group_1-prediction_file_nocomments-3"	0.0705993811283566	0.0648068243917575	0.0441912435923914	0.0705993811283566	0.481674	0.481674	0.456793253714036	0.456793253714036	0.45878537848613	0.423259681485469	0.45878537848613
"Group_2-prediction_file_nocomments-1"	0.0605486265116334	0.0841368779565001	0.0571545812545264	0.0605486265116334	0.495322	0.495322	0.481887805991213	0.481887805991213	0.483814201683539	0.448555408713792	0.483814201683539
"Group_2-prediction_file_nocomments-2"	0.0608518415451307	0.0859633886954849	0.058037453143778	0.0608518415451307	0.506632	0.506632	0.465906864708638	0.465906864708638	0.467892047264714	0.43249451801158	0.467892047264714
"Group_3-prediction_file_nocomments-1"	0.052245334914907	0.0742531993309433	0.0525967894304987	0.052245334914907	0.509067	0.509067	0.528195822292988	0.528195822292988	0.529797490615239	0.493208778209042	0.529797490615239
"Group_3-prediction_file_nocomments-2"	0.0666924172456093	0.100460659640351	0.0694213835681606	0.0666924172456093	0.496572	0.496572	0.514013523015241	0.514013523015241	0.515635134003975	0.477702689546096	0.515635134003975
"Group_3-prediction_file_nocomments-3"	0.0389368143285309	0.0603815196538477	0.0430594900903185	0.0389368143285309	0.4703	0.4703	0.429726256910476	0.429726256910476	0.431582642460269	0.388301229088047	0.431582642460269
"Group_4-prediction_file_nocomments-1"	0.036367102282627	0.0447739346854539	0.0310300025860496	0.036367102282627	0.558695	0.558695	0.404803108646205	0.404803108646205	0.406980993118668	0.367837038474529	0.406980993118668
"Group_4-prediction_file_nocomments-2"	-0.0991108011696487	-0.0497872363820715	-0.0328738417748131	-0.0991108011696487	0.491253	0.491253	0.411740903423425	0.411740903423425	0.414426867389568	0.380040635589897	0.414426867389568
"Group_4-prediction_file_nocomments-3"	0.0205135895164469	0.0581076029912529	0.0415166563111874	0.0205135895164469	0.459759	0.459759	0.392751136036367	0.392751136036367	0.394927422081903	0.353465952366094	0.394927422081903
"Group_5-prediction_file_nocomments-1"	0.1458373077066	0.154110776054814	0.106248152353711	0.1458373077066	0.52099	0.52099	0.410494485372226	0.410494485372226	0.412425250682844	0.372656130562574	0.412425250682844
"Group_5-prediction_file_nocomments-2"	0.121436511949427	0.105363243981155	0.0707095243987525	0.121436511949427	0.540792	0.540792	0.370261193824928	0.370261193824928	0.372145266117335	0.328037447027987	0.372145266117335
