"","value","low_ci","high_ci","se","cond","sid","sidc","ord"
"SID#16",0.8436272878,0.768515,0.91007,0.000433011040392006,"high",16,"SID#16",21
"SID#50",0.8347874549,0.75747105,0.90299,0.000446681037231131,"high",50,"SID#50",19
"SID#51",0.7587112668,0.6740073,0.84042845,0.000506776321882193,"high",51,"SID#51",17
"SID#19",0.5879139827,0.4847096,0.690508,0.000627405187359917,"high",19,"SID#19",7
"SID#20",0.5830904889,0.48093335,0.679563,0.000606440893363469,"high",20,"SID#20",6
"SID#21",0.5432278663,0.433881,0.65083385,0.000657592305837813,"high",21,"SID#21",2
"SID#22",0.5590634648,0.4522079,0.666118,0.000647503197364319,"high",22,"SID#22",4
"SID#23",0.6374556788,0.5475076,0.72586115,0.000543364170165208,"high",23,"SID#23",9
"SID#24",0.5432411328,0.437047,0.6486903,0.000639356011867213,"high",24,"SID#24",3
"SID#25",0.7427187621,0.6422988,0.83741545,0.000592481417996917,"high",25,"SID#25",15
"SID#26",0.8433435381,0.7673264,0.9139564,0.000450030857900657,"high",26,"SID#26",20
"SID#27",0.7564084896,0.665013,0.8421239,0.000541806026738509,"high",27,"SID#27",16
"SID#28",0.7170195739,0.624918,0.806378,0.000546032022602177,"high",28,"SID#28",13
"SID#29",0.6940527573,0.60876495,0.77708755,0.00051261730126754,"high",29,"SID#29",12
"SID#30",0.6652506262,0.576923,0.7527456,0.000533908674236737,"high",30,"SID#30",11
"SID#32",0.4990657182,0.4077978,0.59092705,0.000565501420922305,"high",32,"SID#32",1
"SID#33",0.5749833878,0.4809476,0.668095,0.000569113080403947,"high",33,"SID#33",5
"SID#41",0.6049240213,0.49484485,0.710283,0.000650112799249007,"high",41,"SID#41",8
"SID#34",0.7683082606,0.677076,0.852513,0.000535905472853835,"high",34,"SID#34",18
"SID#35",0.6568326636,0.5684381,0.744048,0.000533847798587733,"high",35,"SID#35",10
"SID#36",0.7230831622,0.630521,0.81117735,0.000546250508297567,"high",36,"SID#36",14
