"","value","low_ci","high_ci","se","cond","sid","sidc","ord"
"SID#16",0.8435837802,0.7679089,0.910326,0.000433511391022385,"low",16,"SID#16",21
"SID#50",0.8344496633,0.75577295,0.904746,0.000447664248431328,"low",50,"SID#50",19
"SID#51",0.7582250923,0.6717585,0.84040685,0.000509768064799147,"low",51,"SID#51",18
"SID#19",0.5875865737,0.4847218,0.686839,0.000620741262835584,"low",19,"SID#19",6
"SID#20",0.5822814386,0.481579,0.67963615,0.000602621611953689,"low",20,"SID#20",5
"SID#21",0.6618923162,0.560646,0.760133,0.000608861195554083,"low",21,"SID#21",9
"SID#22",0.5580010714,0.4543554,0.66109985,0.000632608342043616,"low",22,"SID#22",3
"SID#23",0.6383466516,0.548485,0.725445,0.000539914497999319,"low",23,"SID#23",8
"SID#24",0.5211741931,0.4152755,0.6255776,0.000642088404478042,"low",24,"SID#24",2
"SID#25",0.743336413,0.64413245,0.83599825,0.000589874104311332,"low",25,"SID#25",17
"SID#26",0.8387818473,0.75946645,0.9108604,0.000456937542008783,"low",26,"SID#26",20
"SID#27",0.6662814379,0.580808,0.7495022,0.000514185385361881,"low",27,"SID#27",11.5
"SID#28",0.6662814379,0.580808,0.7495022,0.000514185385361881,"low",28,"SID#28",11.5
"SID#29",0.7058920525,0.6191848,0.786869,0.000511297992557739,"low",29,"SID#29",14
"SID#30",0.6657035883,0.5768668,0.75397015,0.000533170265884963,"low",30,"SID#30",10
"SID#32",0.5000364493,0.407383,0.592763,0.000571087561900046,"low",32,"SID#32",1
"SID#33",0.5764097877,0.483191,0.66889865,0.000563383151005607,"low",33,"SID#33",4
"SID#41",0.6157931199,0.50723675,0.71918615,0.000642583006039389,"low",41,"SID#41",7
"SID#34",0.7320514621,0.64107655,0.8188591,0.000541514351840264,"low",34,"SID#34",16
"SID#35",0.7030018249,0.613426,0.788264,0.000535145600357568,"low",35,"SID#35",13
"SID#36",0.7293209974,0.6416712,0.815755,0.000530315654208028,"low",36,"SID#36",15
