,AUC,low_ci,high_ci,sd,cond,sid,sidc,ord
SID#1,0.839595476,0.73698075,0.9276393,0.058279461,low,1,SID#1,14
SID#2,0.893356489,0.82175675,0.953704,0.041939802,low,2,SID#2,19
SID#3,0.765180348,0.6516081,0.8700748,0.065954843,low,3,SID#3,10
SID#4,0.776074105,0.6628723,0.87115775,0.063582552,low,4,SID#4,11
SID#5,0.867970807,0.78608285,0.940577,0.049106305,low,5,SID#5,17
SID#6,0.749388052,0.68325725,0.819444,0.042313105,low,6,SID#6,18
SID#7,0.557870977,0.514706,0.609756,0.02849155,low,7,SID#7,13
SID#8,0.837466759,0.7606009,0.9062658,0.045679672,low,8,SID#8,15
SID#9,0.620109393,0.4933928,0.7476415,0.077094079,low,9,SID#9,2
SID#10,0.618164711,0.53054335,0.703125,0.052512994,low,10,SID#10,4
SID#11,0.594147325,0.44242045,0.73303255,0.088899764,low,11,SID#11,3
SID#12,0.669345444,0.51816575,0.8009883,0.087212058,low,12,SID#12,8
SID#13,0,0,0,0,low,13,SID#13,1
SID#14,0.67204124,0.5785487,0.76392985,0.055516195,low,14,SID#14,7
SID#16,0.671963275,0.5405924,0.79076125,0.076413322,low,16,SID#16,6
SID#18,0.642819294,0.5296288,0.76436975,0.073464171,low,18,SID#18,5
SID#19,0.797355279,0.6944384,0.89481875,0.06074635,low,19,SID#19,12
SID#20,0.863831706,0.77987085,0.9368519,0.047470724,low,20,SID#20,16
SID#15,0.737205332,0.6416625,0.83334835,0.058371135,low,15,SID#15,9
SID#1,0.832516083,0.7317417,0.921053,0.057795293,high,1,SID#1,14
SID#2,0.893909525,0.81944905,0.9555581,0.041596213,high,2,SID#2,19
SID#3,0.765877379,0.65184005,0.86585675,0.06513905,high,3,SID#3,10
SID#4,0.780948385,0.6722954,0.878788,0.061520415,high,4,SID#4,11
SID#5,0.882250558,0.8003565,0.9488741,0.046549339,high,5,SID#5,17
SID#6,0.890300322,0.81138375,0.95589935,0.044097642,high,6,SID#6,18
SID#7,0.829170909,0.74316575,0.911765,0.052073303,high,7,SID#7,13
SID#8,0.84350805,0.72424245,0.94420105,0.0668317,high,8,SID#8,15
SID#9,0.590151182,0.4646456,0.7143461,0.078069449,high,9,SID#9,2
SID#10,0.618131906,0.5283577,0.70314245,0.052950039,high,10,SID#10,4
SID#11,0.59294713,0.44796465,0.74196845,0.090252153,high,11,SID#11,3
SID#12,0.70512834,0.5753889,0.82729015,0.0765063,high,12,SID#12,8
SID#13,0.411047209,0.269896,0.56231315,0.087750877,high,13,SID#13,1
SID#14,0.670483668,0.57610165,0.75760045,0.055613016,high,14,SID#14,7
SID#16,0.669570788,0.5437364,0.78984805,0.076733736,high,16,SID#16,6
SID#18,0.643273141,0.51559605,0.7580221,0.074309549,high,18,SID#18,5
SID#19,0.794822174,0.69579475,0.8846181,0.058409502,high,19,SID#19,12
SID#20,0.863027376,0.78337235,0.9384306,0.04811244,high,20,SID#20,16
SID#15,0.736435691,0.63824615,0.8316414,0.058361796,high,15,SID#15,9
