avg,low_ci,high_ci,sd,p.value,cond,sid,sidc,ord
0.443552969,0.301411902,0.580696657,0.085196941,3.67E-05,low,1,SID#1,14
0.511183303,0.361708528,0.649009231,0.085548609,2.39E-06,low,2,SID#2,19
0.294284635,0.144517509,0.426530834,0.085695561,0.003865129,low,3,SID#3,7
0.362745593,0.191693184,0.518360919,0.098537222,0.001492712,low,4,SID#4,9
0.454145635,0.287339612,0.602898494,0.095621678,1.65E-05,low,5,SID#5,17
0.41599558,0.256548024,0.557771,0.091015004,0.000257515,low,6,SID#6,13
0,0,0,0,1,low,7,SID#7,18
0.398262513,0.249018006,0.541201037,0.088149163,0.000568318,low,8,SID#8,15
0.140480142,-0.022273555,0.303544972,0.102695164,0.207875639,low,9,SID#9,3
0.21732692,0.021685607,0.400940394,0.116461852,0.093702058,low,10,SID#10,5
0.168616511,-0.03526236,0.363330204,0.122098466,0.161184465,low,11,SID#11,4
0.317993058,0.138260792,0.48476898,0.107461607,0.012045634,low,12,SID#12,11
0,0,0,0,1,low,13,SID#13,1
0.320241821,0.148790993,0.477895064,0.100620812,0.006498664,low,14,SID#14,8
0.088318734,-0.081282649,0.262600923,0.105560509,0.349163801,low,16,SID#16,2
0.282818622,0.096818148,0.446225766,0.105175356,0.026192652,low,18,SID#18,6
0.348945833,0.171665851,0.522989354,0.106410179,0.001872542,low,19,SID#19,10
0.443476337,0.282338322,0.590769098,0.092959524,4.87E-05,low,20,SID#20,16
0.433620105,0.267612068,0.587536356,0.096091913,0.000120862,low,15,SID#15,12
0.425399796,0.262095144,0.573770439,0.096484687,0.000183674,high,1,SID#1,14
0.507431378,0.359711887,0.642357037,0.085795889,2.91E-06,high,2,SID#2,19
0.276542953,0.123716037,0.41825445,0.089529298,0.006243434,high,3,SID#3,7
0.334538671,0.17909762,0.488564582,0.09288369,0.003544096,high,4,SID#4,9
0.441456652,0.283558724,0.581500143,0.092425353,2.30E-05,high,5,SID#5,17
0.409957929,0.253064342,0.550541187,0.090399654,7.80E-05,high,6,SID#6,13
0.495074588,0.336281826,0.627454356,0.087323435,5.42E-06,high,7,SID#7,18
0.428319332,0.286015836,0.557736283,0.084334896,5.52E-05,high,8,SID#8,15
0.120460679,-0.037943128,0.287609367,0.101081499,0.285404821,high,9,SID#9,3
0.23290957,0.030164904,0.41425551,0.120121374,0.063693977,high,10,SID#10,5
0.132930119,-0.077032287,0.337984238,0.122832571,0.251219785,high,11,SID#11,4
0.371014718,0.198286936,0.52464461,0.096901997,0.004176127,high,12,SID#12,11
-0.122313561,-0.273977838,0.034451229,0.093480376,0.217488326,high,13,SID#13,1
0.308448076,0.139317695,0.467027347,0.099422516,0.009277543,high,14,SID#14,8
0.071829727,-0.093511226,0.23486918,0.100804223,0.411915562,high,16,SID#16,2
0.263907253,0.065357665,0.44075174,0.11455532,0.033431007,high,18,SID#18,6
0.351883477,0.169283835,0.517335189,0.106050194,0.00153762,high,19,SID#19,10
0.441390517,0.272883689,0.60016292,0.099032748,4.04E-05,high,20,SID#20,16
0.395076812,0.220662917,0.554449612,0.105685314,0.000415015,high,15,SID#15,12
