"","avg","low_ci","high_ci","sd","p.value","cond","sid","sidc","ord"
"SID#1",0.425399795820549,0.262095144056089,0.573770438883879,0.0964846871495453,0.000183674295637647,"high",1,"SID#1",14
"SID#2",0.507431377678203,0.359711886998967,0.642357036883357,0.0857958888715302,2.90800159093899e-06,"high",2,"SID#2",19
"SID#3",0.27654295319359,0.123716037425986,0.418254450149788,0.0895292982304698,0.00624343412545277,"high",3,"SID#3",7
"SID#4",0.334538671268606,0.179097620460968,0.488564582074302,0.0928836901142429,0.00354409585710932,"high",4,"SID#4",9
"SID#5",0.441456651862387,0.283558724325278,0.581500143341799,0.092425353308909,2.30414951143454e-05,"high",5,"SID#5",17
"SID#6",0.409957928622476,0.253064341676037,0.550541186616361,0.0903996543303917,7.80045727311354e-05,"high",6,"SID#6",13
"SID#7",0.495074588390638,0.336281825712958,0.627454356376116,0.0873234345736049,5.42361356037443e-06,"high",7,"SID#7",18
"SID#8",0.428319332447348,0.286015836419902,0.557736283442925,0.0843348957235183,5.52023257647383e-05,"high",8,"SID#8",15
"SID#9",0.120460679371098,-0.0379431283648856,0.287609367219242,0.101081498858041,0.285404821359728,"high",9,"SID#9",3
"SID#10",0.232909570100556,0.0301649039748113,0.414255510395982,0.120121374079247,0.0636939773918077,"high",10,"SID#10",5
"SID#11",0.132930119054859,-0.0770322873204417,0.337984238433242,0.122832570732101,0.251219785357417,"high",11,"SID#11",4
"SID#12",0.371014718064092,0.198286936306832,0.524644609564482,0.0969019971623068,0.00417612749997329,"high",12,"SID#12",11
"SID#13",-0.122313560689483,-0.273977838267056,0.034451228541376,0.0934803758972118,0.217488326413031,"high",13,"SID#13",1
"SID#14",0.308448076011967,0.139317694601603,0.467027346790222,0.0994225163224167,0.00927754326785723,"high",14,"SID#14",8
"SID#16",0.0718297271939177,-0.0935112256951666,0.234869180278899,0.100804223222377,0.4119155619383,"high",16,"SID#16",2
"SID#18",0.263907253239412,0.0653576650711093,0.440751739863362,0.114555319538338,0.0334310067393091,"high",18,"SID#18",6
"SID#19",0.351883477376883,0.169283834856844,0.517335189412898,0.106050194443374,0.00153762019053518,"high",19,"SID#19",10
"SID#20",0.441390516566864,0.272883689071099,0.600162920056309,0.0990327483274707,4.03989710904697e-05,"high",20,"SID#20",16
"SID#15",0.395076812322344,0.22066291735244,0.554449612096549,0.105685314413317,0.000415015268976415,"high",15,"SID#15",12
