"","avg","low_ci","high_ci","sd","p.value","cond","sid","sidc"
"SID#1",0.443552968566367,0.301411902420218,0.580696657248711,0.0851969405336196,3.6652660533087e-05,"low",1,"SID#1"
"SID#2",0.51118330292797,0.361708528357676,0.649009231076878,0.0855486093801124,2.39128821775475e-06,"low",2,"SID#2"
"SID#3",0.294284635042371,0.144517508929839,0.426530834254597,0.0856955609350942,0.00386512854796514,"low",3,"SID#3"
"SID#4",0.362745592983864,0.19169318414781,0.518360918652431,0.0985372215036799,0.00149271182492614,"low",4,"SID#4"
"SID#5",0.454145634507625,0.287339612145415,0.602898493580394,0.0956216782263251,1.64809926776811e-05,"low",5,"SID#5"
"SID#6",0.415995580400815,0.256548023646144,0.557770999625585,0.0910150039975486,0.000257515303449632,"low",6,"SID#6"
"SID#7",NA,0.0953837233101685,0.391939525210824,NA,NA,"low",7,"SID#7"
"SID#8",0.39826251292396,0.249018005937683,0.541201036672794,0.0881491626229492,0.000568318019154245,"low",8,"SID#8"
"SID#9",0.140480142022175,-0.0222735545163626,0.303544971774785,0.102695164363631,0.207875638701598,"low",9,"SID#9"
"SID#10",0.217326920308415,0.0216856069330491,0.400940393631432,0.116461852416471,0.0937020583867959,"low",10,"SID#10"
"SID#11",0.168616510607754,-0.035262359917236,0.363330203664475,0.122098465918832,0.161184464780718,"low",11,"SID#11"
"SID#12",0.317993058188306,0.138260791500809,0.48476897972523,0.107461606775702,0.0120456339370355,"low",12,"SID#12"
"SID#14",0.320241820761423,0.148790992828649,0.477895063610335,0.100620812240391,0.00649866386192688,"low",14,"SID#14"
"SID#16",0.0883187339392226,-0.0812826490303832,0.262600922801075,0.1055605085942,0.349163800921253,"low",16,"SID#16"
"SID#18",0.282818622438288,0.0968181483632702,0.446225765723818,0.105175355760123,0.0261926520471505,"low",18,"SID#18"
"SID#19",0.348945833017234,0.171665850637091,0.522989353685741,0.106410178796289,0.00187254195110835,"low",19,"SID#19"
"SID#20",0.443476336706882,0.282338321535737,0.590769098089671,0.0929595241721998,4.86982900810191e-05,"low",20,"SID#20"
"SID#15",0.433620105376872,0.267612067762368,0.587536355508338,0.0960919126435806,0.000120862423444308,"low",15,"SID#15"
