"","RMSD","low_ci","high_ci","sd","cond","sid","sidc"
"SID#1",40.727512293102,32.5291268656281,48.8453841573079,5.08150774858917,"low",1,"SID#1"
"SID#2",43.1319642004813,37.7664125990738,48.2962753742113,3.24284186617612,"low",2,"SID#2"
"SID#3",47.7416349029424,40.06981597798,55.4254995332027,4.58199388924308,"low",3,"SID#3"
"SID#4",47.0323557251739,38.5135983564754,55.2975751617678,5.08989912571315,"low",4,"SID#4"
"SID#5",37.8010481654973,30.3662609421158,45.7890083638518,4.70805753452939,"low",5,"SID#5"
"SID#6",52.4404153143885,42.8940547889775,60.789277233966,5.598350847014,"low",6,"SID#6"
"SID#7",66.7431329313543,58.2405672245812,75.199746123928,5.14297062508665,"low",7,"SID#7"
"SID#8",45.3274268796052,36.3694611765503,53.6184301380085,5.32097050295255,"low",8,"SID#8"
"SID#9",52.4058404555773,46.3309255720593,58.5300575168337,3.74903389224358,"low",9,"SID#9"
"SID#10",58.824669762987,48.6481864005052,68.295767412918,5.97943703179939,"low",10,"SID#10"
"SID#11",41.0046957397081,35.0852600748337,46.6771871619849,3.62389416546543,"low",11,"SID#11"
"SID#12",41.5530101825299,34.8129292599596,48.2240447704956,4.0540243236957,"low",12,"SID#12"
"SID#14",55.8496605830772,46.0002957906869,65.0361135807625,5.71861920018378,"low",14,"SID#14"
"SID#16",70.7088405076399,61.9729820387712,79.5739976819308,5.3320205286138,"low",16,"SID#16"
"SID#18",44.9431341223621,37.8509330635836,51.8883403037998,4.21768380335136,"low",18,"SID#18"
"SID#19",48.9959930345529,40.5427830077907,57.4226158741323,5.2890220117989,"low",19,"SID#19"
"SID#20",42.2413307937451,34.5633063287491,50.2154372294297,4.65689164629836,"low",20,"SID#20"
"SID#15",57.6091933303542,49.7102863906503,65.6097019803708,4.86563465330044,"low",15,"SID#15"
