,RMSD,low_ci,high_ci,sd,cond,sid,sidc,ord
SID#16,42.07906972,38.09356007,46.23766264,2.481192711,high,16,SID#16,3
SID#50,44.31398945,40.066978,48.70305421,2.609841494,high,50,SID#50,6
SID#51,51.82749805,45.05187688,58.36259624,4.100574923,high,51,SID#51,9
SID#19,61.3313849,54.49217652,68.28064248,4.145208368,high,19,SID#19,18
SID#20,62.836711,56.0690709,69.21759856,3.942898938,high,20,SID#20,19
SID#21,61.15357985,54.87935041,67.25459807,3.78609923,high,21,SID#21,17
SID#22,57.58575759,51.50526478,63.27936667,3.644291612,high,22,SID#22,16
SID#23,53.96801945,46.78455916,60.08937799,4.137794348,high,23,SID#23,12
SID#24,66.37506906,58.8949674,73.40529982,4.34253477,high,24,SID#24,20
SID#25,41.91006773,34.87538993,48.58670392,4.168895682,high,25,SID#25,2
SID#26,34.08344139,30.28804986,37.83696102,2.303517374,high,26,SID#26,1
SID#27,43.93906437,38.21580189,49.67533853,3.441456117,high,27,SID#27,5
SID#28,45.43045675,39.44950913,51.54290014,3.695478294,high,28,SID#28,7
SID#29,56.53184564,49.45774944,63.53766649,4.271081968,high,29,SID#29,13
SID#30,53.5722719,45.93657702,60.24148337,4.413239485,high,30,SID#30,10
SID#32,69.6311134,63.51827827,75.26789851,3.627290874,high,32,SID#32,21
SID#33,53.76093821,47.09823375,60.134128,3.960212437,high,33,SID#33,11
SID#41,46.40568569,42.07421519,50.90632861,2.663491786,high,41,SID#41,8
SID#34,57.4487951,50.60433237,64.15355899,4.144637208,high,34,SID#34,15
SID#35,56.70498964,49.41782726,63.39148855,4.242366054,high,35,SID#35,14
SID#36,42.40332806,36.1796415,48.24380444,3.67752986,high,36,SID#36,4
SID#16,45.56743409,41.33385816,49.33436403,2.450602437,low,16,SID#16,3
SID#50,50.8940746,46.44998995,55.04638804,2.620271411,low,50,SID#50,6
SID#51,47.87388847,39.48203466,55.50935089,4.870959982,low,51,SID#51,9
SID#19,59.93978438,54.08045991,65.82853494,3.717200332,low,19,SID#19,18
SID#20,59.46527246,52.62479728,65.92741859,4.118674709,low,20,SID#20,19
SID#21,57.46924192,51.85534714,62.94124488,3.439665177,low,21,SID#21,17
SID#22,50.50622868,44.95039091,56.43435249,3.612665396,low,22,SID#22,16
SID#23,49.0022054,42.13438385,55.90943791,4.181401321,low,23,SID#23,12
SID#24,61.39516818,54.37348268,68.17770455,4.067908796,low,24,SID#24,20
SID#25,40.14385779,33.40400212,46.89719327,4.027047432,low,25,SID#25,2
SID#26,35.77882766,30.0154304,41.09502145,3.234611705,low,26,SID#26,1
SID#27,46.83187362,39.43055455,54.15504298,4.531204355,low,27,SID#27,5
SID#28,46.83187362,39.43055455,54.15504298,4.531204355,low,28,SID#28,7
SID#29,54.72475231,47.68416698,61.68913984,4.314702084,low,29,SID#29,13
SID#30,54.90084484,47.86700066,62.06658231,4.325201512,low,30,SID#30,10
SID#32,71.59733369,65.54606924,77.42688187,3.614307607,low,32,SID#32,21
SID#33,49.18191763,42.76785151,55.23688187,3.743471512,low,33,SID#33,11
SID#41,44.58446424,41.04925655,47.91954328,2.053261852,low,41,SID#41,8
SID#34,53.18465463,44.877953,61.01162844,4.948773277,low,34,SID#34,15
SID#35,42.00739487,36.60693527,47.67037958,3.249506542,low,35,SID#35,14
SID#36,38.12128502,32.67214647,43.19782313,3.254479827,low,36,SID#36,4
