,uniqueness,low_ci,high_ci,sd,cond,sid,sidc,ord
SID#16,0.049708689,0.005442372,0.105779104,0.031984029,high,16,SID#16,8
SID#19,0.004310911,-0.00739971,0.033355884,0.016262533,high,19,SID#19,2
SID#26,0.037168805,-0.003821556,0.096692954,0.03255149,high,26,SID#26,6
SID#28,0.034810272,-0.003210187,0.090963386,0.029225753,high,28,SID#28,5
SID#29,0.009122158,-0.007045267,0.052110751,0.021866691,high,29,SID#29,4
SID#41,0.004740611,-0.007688058,0.038588864,0.016281398,high,41,SID#41,3
SID#34,0.003133394,-0.007671221,0.030004486,0.013348641,high,34,SID#34,1
SID#36,0.044756401,-0.005309166,0.115486037,0.038638647,high,36,SID#36,7
SID#16,0.016553555,-0.006201764,0.05813389,0.021792621,low,16,SID#16,8
SID#23,0.004817538,-0.00804307,0.046331706,0.02039061,low,23,SID#23,2
SID#26,0.041027842,-0.005697299,0.11964316,0.040249034,low,26,SID#26,6
SID#28,0,0,0,0,low,28,SID#28,5
SID#29,0.011318427,-0.007448499,0.061445334,0.024262499,low,29,SID#29,4
SID#41,0.007742736,-0.007540482,0.03962331,0.016291632,low,41,SID#41,3
SID#34,0.003886929,-0.007619867,0.034708536,0.016081281,low,34,SID#34,1
SID#36,0.05682814,-0.003219713,0.149726917,0.048120567,low,36,SID#36,7
