"","value","low_ci","high_ci","se","p.value","cond","sid","sidc","ord"
"SID#16",0.474323449436448,0.371072578952689,0.567293196691321,0.000593130282104196,2.13782902446796e-08,"low",16,"SID#16",20
"SID#50",0.475360036923609,0.363734376280697,0.574905183240268,0.000643288484196057,7.22852890688641e-08,"low",50,"SID#50",21
"SID#51",0.444378771791285,0.316057929747505,0.56256017401889,0.000762860098818504,1.34505017051293e-06,"low",51,"SID#51",18
"SID#19",0.0940074104070755,-0.0499923843905348,0.240670008270504,0.00088766901826995,0.296518858039533,"low",19,"SID#19",5
"SID#20",0.0598052394408918,-0.0914213009883278,0.209105774839526,0.000915763699417948,0.417365943968711,"low",20,"SID#20",3
"SID#21",0.208794543123587,0.060858415344954,0.350578285399617,0.000887446317211564,0.0179925426422587,"low",21,"SID#21",8
"SID#22",0.0662809903874735,-0.0847199918117796,0.221223222652771,0.000928537130674251,0.381095436427194,"low",22,"SID#22",4
"SID#23",0.219768345508759,0.07058227669039,0.362619167498665,0.000882970608524682,0.0184836254486001,"low",23,"SID#23",9
"SID#24",0.0183939928564694,-0.113264865156442,0.153524226890534,0.000816190183245566,0.535066652842707,"low",24,"SID#24",2
"SID#25",0.398836078200771,0.257393167926877,0.535337707100711,0.000838997189881535,3.92181436127737e-05,"low",25,"SID#25",15
"SID#26",0.455173667678319,0.344827910976717,0.556508898222017,0.000642170412618239,7.04386800280816e-08,"low",26,"SID#26",19
"SID#27",0.278598378227873,0.133699121815138,0.42046048735767,0.000876758203884297,0.0030597762776157,"low",27,"SID#27",10.5
"SID#28",0.278598378227873,0.133699121815138,0.42046048735767,0.000876758203884297,0.0030597762776157,"low",28,"SID#28",10.5
"SID#29",0.400070080991127,0.257542160993283,0.535556893937494,0.00084213912824134,7.62813453667878e-05,"low",29,"SID#29",16
"SID#30",0.32221632328176,0.166262127472772,0.470719844974855,0.000931668513342503,0.00142330850242219,"low",30,"SID#30",12
"SID#32",-0.0231013208920641,-0.192981862248108,0.147232278814542,0.00102846222276896,0.482244263334449,"low",32,"SID#32",1
"SID#33",0.164362521088638,0.000543556226249997,0.316370018909809,0.000959072200286196,0.075914947911832,"low",33,"SID#33",6
"SID#41",0.169415670304385,0.0238682977410932,0.308230822121947,0.000867248391782346,0.0433001127022331,"low",41,"SID#41",7
"SID#34",0.353168350193917,0.215120512094229,0.4819406327204,0.00080640891006578,8.01154936281147e-05,"low",34,"SID#34",13
"SID#35",0.363171571974478,0.224410936933228,0.49055742453732,0.000820151257219236,0.000163615413069476,"low",35,"SID#35",14
"SID#36",0.439342803074425,0.304873566406442,0.561472487860066,0.000783470931716984,3.89653351958039e-06,"low",36,"SID#36",17
