"","value","low_ci","high_ci","se","cond","sid","sidc","ord"
"SID#16",42.2626764090182,38.1768035984703,46.2304029137707,0.0243154233744277,"high",16,"SID#16",3
"SID#50",44.5058256887121,40.2289677284785,48.7204063210965,0.0259265196979516,"high",50,"SID#50",6
"SID#51",51.5408181649292,44.5911391558948,58.3059988489415,0.0417772264567631,"high",51,"SID#51",9
"SID#19",61.2227018149903,54.0219279961064,68.1367553611323,0.0428601570338311,"high",19,"SID#19",18
"SID#20",62.9046688533784,56.373958343478,69.1205007118972,0.0388164611980889,"high",20,"SID#20",19
"SID#21",61.0176948195559,54.3983868665646,67.2396573719771,0.0387486588133897,"high",21,"SID#21",17
"SID#22",57.4591705546042,51.1506823838831,63.4545180897425,0.0374121170468414,"high",22,"SID#22",16
"SID#23",53.8439061686177,46.8849019262459,60.5778159067286,0.0416006858626979,"high",23,"SID#23",12
"SID#24",66.654956583453,59.4941967787431,73.5946134627233,0.0430415320242403,"high",24,"SID#24",20
"SID#25",42.0083770848522,35.1979094547212,48.6067735788768,0.0407689156077368,"high",25,"SID#25",2
"SID#26",34.1793362716952,30.3048652673363,37.9874305574118,0.0232887658193373,"high",26,"SID#26",1
"SID#27",43.9107259804822,38.0613616004931,49.5662522836929,0.0349954217380858,"high",27,"SID#27",5
"SID#28",45.3960331287624,39.0692693271236,51.4823350172782,0.037701239736264,"high",28,"SID#28",7
"SID#29",56.4391690000881,49.2284063987715,63.2309496192914,0.0424294709212093,"high",29,"SID#29",13
"SID#30",53.7166808115869,46.3447595112018,60.6891205765735,0.0436888952391642,"high",30,"SID#30",11
"SID#32",69.5412354263219,63.3258124000428,75.3419213882938,0.0367691152761442,"high",32,"SID#32",21
"SID#33",53.5794412290589,47.1453772091593,59.8118670678793,0.0384269096299279,"high",33,"SID#33",10
"SID#41",46.3975854885919,42.2297162618915,50.5670978795167,0.0253970098747959,"high",41,"SID#41",8
"SID#34",57.2272703032399,50.2414800521359,64.0739080931551,0.0422625189180548,"high",34,"SID#34",15
"SID#35",56.879261639261,49.7763886457731,63.5704757845944,0.042058033656544,"high",35,"SID#35",14
"SID#36",42.3527116312536,36.469530034792,48.1666136751022,0.0358564307314193,"high",36,"SID#36",4
