"","value","low_ci","high_ci","se","cond","sid","sidc","ord"
"SID#16",45.5387420246359,41.5504329525393,49.4726628141145,0.0240366267292181,"low",16,"SID#16",6
"SID#50",50.8156121525089,46.5673937233629,55.0198288366462,0.0258879441062362,"low",50,"SID#50",13
"SID#51",48.0548236285694,39.9554834895877,55.6898799418304,0.0476265862182393,"low",51,"SID#51",9
"SID#19",60.1150224871413,53.8858391467823,66.042960934171,0.0370861722963131,"low",19,"SID#19",19
"SID#20",59.4882360779383,52.3018922479257,66.3418233606167,0.0425603812450765,"low",20,"SID#20",18
"SID#21",57.6377886567728,51.7083379492305,63.2230712297365,0.0350420130116222,"low",21,"SID#21",17
"SID#22",50.6566167192831,44.7044039630835,56.4229245552662,0.0355256552711688,"low",22,"SID#22",12
"SID#23",49.1308598783907,42.2877358533875,55.8585943641342,0.0410944474014434,"low",23,"SID#23",10
"SID#24",61.4358467370359,54.9559520836852,67.7469757844685,0.0392374203721928,"low",24,"SID#24",20
"SID#25",40.2781660016356,33.5283167919564,46.8239777359567,0.0401875932079276,"low",25,"SID#25",3
"SID#26",35.9271416972093,30.8473767716988,41.0287719262189,0.0310066424154902,"low",26,"SID#26",1
"SID#27",47.1672872842188,40.0734546311255,54.1430082041576,0.0428176664243176,"low",27,"SID#27",7.5
"SID#28",47.1672872842188,40.0734546311255,54.1430082041576,0.0428176664243176,"low",28,"SID#28",7.5
"SID#29",54.6837235891693,47.2369955553923,61.8092484839784,0.0441617806314255,"low",29,"SID#29",15
"SID#30",54.9136832253007,47.4200414088866,62.0493756015519,0.0446361630348558,"low",30,"SID#30",16
"SID#32",71.8114342312037,65.4646933689531,77.8270939337162,0.0378345017940749,"low",32,"SID#32",21
"SID#33",49.454734994985,43.3363493018653,55.4302041038848,0.0366064536438266,"low",33,"SID#33",11
"SID#41",44.7088396548533,41.3163393502318,48.0922019532942,0.0207600996354876,"low",41,"SID#41",5
"SID#34",53.4310479444606,45.1643373281443,61.1769384417008,0.0487791669107035,"low",34,"SID#34",14
"SID#35",42.0237260557794,36.8265360776482,47.1855258440928,0.0314444026044924,"low",35,"SID#35",4
"SID#36",38.2629085500353,32.9455868912953,43.3701541440814,0.0318083858728254,"low",36,"SID#36",2
