,uniqueness,low_ci,high_ci,sd,cond,sid,sidc,ord
SID#1,0.019139972,-0.016968222,0.115315643,0.046761886,high,1,SID#1,6
SID#2,0.033792915,-0.014885111,0.146777387,0.052093971,high,2,SID#2,8
SID#3,0.00798125,-0.01760024,0.058144415,0.031565702,high,3,SID#3,1
SID#4,0.014791916,-0.017916842,0.081096208,0.038771737,high,4,SID#4,4
SID#8,0.085991578,-0.017666071,0.316243432,0.115718105,high,8,SID#8,12
SID#10,0.086251569,-0.01695318,0.369097241,0.132126989,high,10,SID#10,13
SID#12,0.034590621,-0.036890792,0.147965013,0.057412265,high,12,SID#12,9
SID#13,0.050781281,-0.010698863,0.180123041,0.061984014,high,13,SID#13,11
SID#14,0.03825067,-0.013813134,0.138683002,0.055272382,high,14,SID#14,10
SID#16,0.020850568,-0.016487797,0.109018217,0.045100003,high,16,SID#16,7
SID#18,0.008220781,-0.017926203,0.060825489,0.02826328,high,18,SID#18,2
SID#20,0.018750196,-0.016253717,0.099151794,0.041062198,high,20,SID#20,5
SID#15,0.008787188,-0.037979116,0.077335658,0.038716274,high,15,SID#15,3
SID#1,0.013438658,-0.021016163,0.095263475,0.042725895,low,1,SID#1,6
SID#2,0.068357719,-0.016117534,0.222823317,0.084750038,low,2,SID#2,8
SID#3,0.024368302,-0.020331426,0.145953636,0.057711283,low,3,SID#3,1
SID#4,0.010247419,-0.02133757,0.085075025,0.042235301,low,4,SID#4,4
SID#5,0.084686581,-0.021899876,0.399204266,0.144877545,low,5,SID#5,12
SID#11,0.059316602,-0.031247815,0.279895671,0.105832699,low,11,SID#11,13
SID#12,0.011537449,-0.059875318,0.128242501,0.059328358,low,12,SID#12,9
SID#13,0,0,0,0,low,13,SID#13,11
SID#14,0.025121205,-0.021411798,0.142027701,0.056178524,low,14,SID#14,10
SID#16,0.009417983,-0.023146965,0.083584218,0.041568007,low,16,SID#16,7
SID#18,0.007895939,-0.021928576,0.085720662,0.040301121,low,18,SID#18,2
SID#20,0.010154682,-0.022986671,0.088518,0.041931519,low,20,SID#20,5
SID#15,0.023637985,-0.038498776,0.141782112,0.059579132,low,15,SID#15,3
