"","uniqueness","low_ci","high_ci","sd","cond","sid","sidc","ord"
"SID#1",0.0191399719032205,-0.0169682215096194,0.115315643385039,0.0467618855124623,"high",1,"SID#1",6
"SID#2",0.0337929152993197,-0.0148851111602187,0.146777387406956,0.0520939706218286,"high",2,"SID#2",8
"SID#3",0.00798125031007386,-0.0176002404792752,0.0581444148567084,0.0315657024029591,"high",3,"SID#3",1
"SID#4",0.0147919158577096,-0.017916841904241,0.0810962077010081,0.0387717370926079,"high",4,"SID#4",4
"SID#8",0.0859915780657958,-0.0176660710410867,0.316243431515519,0.115718105154258,"high",8,"SID#8",12
"SID#10",0.0862515689687885,-0.0169531802530697,0.369097240582548,0.132126988606022,"high",10,"SID#10",13
"SID#12",0.0345906205071147,-0.0368907919693164,0.147965012918077,0.0574122647767673,"high",12,"SID#12",9
"SID#13",0.0507812809413568,-0.0106988626113035,0.180123041064329,0.0619840138365076,"high",13,"SID#13",11
"SID#14",0.0382506695955403,-0.0138131343530379,0.138683002184448,0.0552723822095383,"high",14,"SID#14",10
"SID#16",0.0208505684610992,-0.0164877974445533,0.1090182166048,0.0451000033230019,"high",16,"SID#16",7
"SID#18",0.00822078070436124,-0.0179262032866995,0.060825488514493,0.0282632803018035,"high",18,"SID#18",2
"SID#20",0.0187501964136071,-0.0162537174035309,0.0991517938670261,0.0410621976504126,"high",20,"SID#20",5
"SID#15",0.00878718821934674,-0.0379791159938012,0.0773356576383539,0.0387162740707984,"high",15,"SID#15",3
