"","uniqueness","low_ci","high_ci","sd","cond","sid","sidc"
"SID#1",0.0134386582454779,-0.0210161629206922,0.0952634746878749,0.0427258948947938,"low",1,"SID#1"
"SID#2",0.0683577186533189,-0.0161175336482509,0.222823316692282,0.0847500379242865,"low",2,"SID#2"
"SID#3",0.0243683019316644,-0.0203314263981672,0.1459536361954,0.0577112829367927,"low",3,"SID#3"
"SID#4",0.0102474191975444,-0.0213375695685764,0.0850750254923536,0.0422353014753874,"low",4,"SID#4"
"SID#5",0.0846865805631613,-0.0218998759475147,0.399204265759126,0.144877545271578,"low",5,"SID#5"
"SID#11",0.0593166021361559,-0.0312478153809768,0.279895670670179,0.105832698752169,"low",11,"SID#11"
"SID#12",0.0115374489416882,-0.05987531778246,0.128242500557436,0.0593283577358762,"low",12,"SID#12"
"SID#14",0.0251212053842561,-0.0214117984528962,0.142027701201109,0.0561785242894063,"low",14,"SID#14"
"SID#16",0.00941798336026144,-0.0231469649349993,0.0835842179249939,0.0415680071792997,"low",16,"SID#16"
"SID#18",0.00789593878192774,-0.0219285755759536,0.0857206616309209,0.0403011213750358,"low",18,"SID#18"
"SID#20",0.0101546823946238,-0.0229866712294964,0.0885179999895413,0.0419315187916458,"low",20,"SID#20"
"SID#15",0.0236379850621593,-0.0384987762031403,0.14178211216755,0.0595791316680009,"low",15,"SID#15"
